accession	description
"GCA_008674315.1"	"ASM867431v1 assembly for Subdoligranulum sp."
"GCA_008674385.1"	"ASM867438v1 assembly for Agathobacter rectalis"
"GCA_008674425.1"	"ASM867442v1 assembly for Ruminococcus bromii"
"GCA_008672805.1"	"ASM867280v1 assembly for Agathobacter rectalis"
"GCA_008672835.1"	"ASM867283v1 assembly for Clostridia bacterium"
"GCA_008672845.1"	"ASM867284v1 assembly for Clostridia bacterium"
"GCA_008672915.1"	"ASM867291v1 assembly for Clostridia bacterium"
"GCA_008672925.1"	"ASM867292v1 assembly for Oscillospiraceae bacterium"
"GCA_008673015.1"	"ASM867301v1 assembly for Clostridia bacterium"
"GCA_008673075.1"	"ASM867307v1 assembly for Ruminococcus bromii"
"GCA_008673085.1"	"ASM867308v1 assembly for Blautia sp."
"GCA_008673175.1"	"ASM867317v1 assembly for Oscillospiraceae bacterium"
"GCA_008673215.1"	"ASM867321v1 assembly for Clostridia bacterium"
"GCA_008673255.1"	"ASM867325v1 assembly for Agathobacter rectalis"
"GCA_008673275.1"	"ASM867327v1 assembly for Ruminococcus bromii"
"GCA_008673335.1"	"ASM867333v1 assembly for Akkermansia sp."
"GCA_008673375.1"	"ASM867337v1 assembly for Bifidobacterium sp."
"GCA_008673455.1"	"ASM867345v1 assembly for Clostridia bacterium"
"GCA_008673495.1"	"ASM867349v1 assembly for Slackia sp."
"GCA_008673535.1"	"ASM867353v1 assembly for Subdoligranulum sp."
"GCA_008673605.1"	"ASM867360v1 assembly for Citrobacter sp."
"GCA_008673675.1"	"ASM867367v1 assembly for Slackia sp."
"GCA_008673685.1"	"ASM867368v1 assembly for Bifidobacterium sp."
"GCA_008673695.1"	"ASM867369v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008673765.1"	"ASM867376v1 assembly for Subdoligranulum sp."
"GCA_008673775.1"	"ASM867377v1 assembly for Subdoligranulum sp."
"GCA_008673805.1"	"ASM867380v1 assembly for Blautia wexlerae"
"GCA_008673835.1"	"ASM867383v1 assembly for Slackia sp."
"GCA_008673855.1"	"ASM867385v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008673935.1"	"ASM867393v1 assembly for Eggerthellaceae bacterium"
"GCA_008673955.1"	"ASM867395v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008673975.1"	"ASM867397v1 assembly for Bifidobacterium longum"
"GCA_008674015.1"	"ASM867401v1 assembly for Agathobacter rectalis"
"GCA_008674025.1"	"ASM867402v1 assembly for Subdoligranulum sp."
"GCA_008674055.1"	"ASM867405v1 assembly for Ruminococcus bromii"
"GCA_008674095.1"	"ASM867409v1 assembly for Bifidobacterium longum"
"GCA_008674115.1"	"ASM867411v1 assembly for Clostridia bacterium"
"GCA_008674195.1"	"ASM867419v1 assembly for Subdoligranulum sp."
"GCA_008674265.1"	"ASM867426v1 assembly for Ruminococcus bromii"
"GCA_008674275.1"	"ASM867427v1 assembly for Clostridia bacterium"
"GCA_014517555.1"	"ASM1451755v1 assembly for Bacteroides phage F4"
"GCA_013088915.1"	"ASM1308891v1 assembly for uncultured human fecal virus"
"GCA_013088995.1"	"ASM1308899v1 assembly for uncultured human fecal virus"
"GCA_013089085.1"	"ASM1308908v1 assembly for uncultured human fecal virus"
"GCA_013089115.1"	"ASM1308911v1 assembly for uncultured human fecal virus"
"GCA_013089215.1"	"ASM1308921v1 assembly for uncultured human fecal virus"
"GCA_013089235.1"	"ASM1308923v1 assembly for uncultured human fecal virus"
"GCA_013089265.1"	"ASM1308926v1 assembly for uncultured human fecal virus"
"GCA_013089315.1"	"ASM1308931v1 assembly for uncultured human fecal virus"
"GCA_013089335.1"	"ASM1308933v1 assembly for uncultured human fecal virus"
"GCA_013089615.1"	"ASM1308961v1 assembly for uncultured human fecal virus"
"GCA_013089655.1"	"ASM1308965v1 assembly for uncultured human fecal virus"
"GCA_013089795.1"	"ASM1308979v1 assembly for uncultured human fecal virus"
"GCA_013089805.1"	"ASM1308980v1 assembly for uncultured human fecal virus"
"GCA_013089815.1"	"ASM1308981v1 assembly for uncultured human fecal virus"
"GCA_008673035.1"	"ASM867303v1 assembly for Bifidobacterium adolescentis"
"GCA_008673055.1"	"ASM867305v1 assembly for Clostridia bacterium"
"GCA_008673095.1"	"ASM867309v1 assembly for Akkermansia sp."
"GCA_008673135.1"	"ASM867313v1 assembly for Oscillospiraceae bacterium"
"GCA_008673155.1"	"ASM867315v1 assembly for Collinsella aerofaciens"
"GCA_008673195.1"	"ASM867319v1 assembly for Faecalibacterium prausnitzii"
"GCA_008673205.1"	"ASM867320v1 assembly for Bifidobacterium adolescentis"
"GCA_008673285.1"	"ASM867328v1 assembly for Collinsella aerofaciens"
"GCA_008673315.1"	"ASM867331v1 assembly for Clostridia bacterium"
"GCA_008673325.1"	"ASM867332v1 assembly for Holdemanella sp."
"GCA_008673385.1"	"ASM867338v1 assembly for Agathobacter rectalis"
"GCA_008673415.1"	"ASM867341v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008673425.1"	"ASM867342v1 assembly for Subdoligranulum sp."
"GCA_008673465.1"	"ASM867346v1 assembly for Bifidobacterium longum"
"GCA_008673475.1"	"ASM867347v1 assembly for Eggerthellaceae bacterium"
"GCA_008673545.1"	"ASM867354v1 assembly for Eggerthellaceae bacterium"
"GCA_008673575.1"	"ASM867357v1 assembly for Holdemanella sp."
"GCA_008673585.1"	"ASM867358v1 assembly for Clostridia bacterium"
"GCA_008673635.1"	"ASM867363v1 assembly for Bifidobacterium longum"
"GCA_008673645.1"	"ASM867364v1 assembly for Agathobacter rectalis"
"GCA_008673735.1"	"ASM867373v1 assembly for Holdemanella sp."
"GCA_008673745.1"	"ASM867374v1 assembly for Agathobacter rectalis"
"GCA_008673875.1"	"ASM867387v1 assembly for Clostridia bacterium"
"GCA_008673895.1"	"ASM867389v1 assembly for Anaerostipes hadrus"
"GCA_008673915.1"	"ASM867391v1 assembly for Subdoligranulum sp."
"GCA_008673965.1"	"ASM867396v1 assembly for Subdoligranulum sp."
"GCA_008674065.1"	"ASM867406v1 assembly for Butyricicoccus sp."
"GCA_008674135.1"	"ASM867413v1 assembly for Subdoligranulum sp."
"GCA_008674145.1"	"ASM867414v1 assembly for Subdoligranulum sp."
"GCA_008674155.1"	"ASM867415v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008674215.1"	"ASM867421v1 assembly for Eggerthellaceae bacterium"
"GCA_008674235.1"	"ASM867423v1 assembly for Ruminococcus sp."
"GCA_008674255.1"	"ASM867425v1 assembly for Butyricicoccus sp."
"GCA_013089895.1"	"ASM1308989v1 assembly for uncultured human fecal virus"
"GCA_013090015.1"	"ASM1309001v1 assembly for uncultured human fecal virus"
"GCA_008674325.1"	"ASM867432v1 assembly for Anaerostipes hadrus"
"GCA_008674355.1"	"ASM867435v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008674375.1"	"ASM867437v1 assembly for Bifidobacterium longum"
"GCA_008674415.1"	"ASM867441v1 assembly for Subdoligranulum sp."
"GCA_013089885.1"	"ASM1308988v1 assembly for uncultured human fecal virus"
"GCA_013089945.1"	"ASM1308994v1 assembly for uncultured human fecal virus"
"GCA_013090025.1"	"ASM1309002v1 assembly for uncultured human fecal virus"
"GCA_013090035.1"	"ASM1309003v1 assembly for uncultured human fecal virus"
"GCA_008667355.1"	"ASM866735v1 assembly for Neglectibacter sp."
"GCA_008667375.1"	"ASM866737v1 assembly for Clostridia bacterium"
"GCA_008667415.1"	"ASM866741v1 assembly for Subdoligranulum sp."
"GCA_008667495.1"	"ASM866749v1 assembly for Clostridia bacterium"
"GCA_008667515.1"	"ASM866751v1 assembly for Clostridia bacterium"
"GCA_008667575.1"	"ASM866757v1 assembly for Clostridia bacterium"
"GCA_008667585.1"	"ASM866758v1 assembly for Subdoligranulum sp."
"GCA_008667615.1"	"ASM866761v1 assembly for Dialister sp."
"GCA_008667655.1"	"ASM866765v1 assembly for Ruminococcus sp."
"GCA_008667695.1"	"ASM866769v1 assembly for Neglectibacter sp."
"GCA_008667755.1"	"ASM866775v1 assembly for Subdoligranulum sp."
"GCA_008667785.1"	"ASM866778v1 assembly for Clostridia bacterium"
"GCA_008667865.1"	"ASM866786v1 assembly for Eggerthellaceae bacterium"
"GCA_008667885.1"	"ASM866788v1 assembly for Ruminococcus bromii"
"GCA_008667945.1"	"ASM866794v1 assembly for Clostridia bacterium"
"GCA_008667955.1"	"ASM866795v1 assembly for Clostridia bacterium"
"GCA_008668025.1"	"ASM866802v1 assembly for Ruminococcus bicirculans (ex Wegman et al. 2014)"
"GCA_008668045.1"	"ASM866804v1 assembly for Bacteroidales bacterium"
"GCA_008668125.1"	"ASM866812v1 assembly for Blautia wexlerae"
"GCA_008668145.1"	"ASM866814v1 assembly for Clostridia bacterium"
"GCA_008668215.1"	"ASM866821v1 assembly for Clostridia bacterium"
"GCA_008668235.1"	"ASM866823v1 assembly for Collinsella aerofaciens"
"GCA_008668295.1"	"ASM866829v1 assembly for Ruminococcus bicirculans (ex Wegman et al. 2014)"
"GCA_008668315.1"	"ASM866831v1 assembly for Collinsella aerofaciens"
"GCA_008668385.1"	"ASM866838v1 assembly for Clostridia bacterium"
"GCA_008668435.1"	"ASM866843v1 assembly for Agathobacter rectalis"
"GCA_008668445.1"	"ASM866844v1 assembly for Clostridia bacterium"
"GCA_008668465.1"	"ASM866846v1 assembly for Ruminococcus bromii"
"GCA_008668515.1"	"ASM866851v1 assembly for Subdoligranulum sp."
"GCA_008668555.1"	"ASM866855v1 assembly for Bifidobacterium longum"
"GCA_008668575.1"	"ASM866857v1 assembly for Megasphaera sp."
"GCA_008668585.1"	"ASM866858v1 assembly for Collinsella aerofaciens"
"GCA_008668655.1"	"ASM866865v1 assembly for Subdoligranulum sp."
"GCA_008668675.1"	"ASM866867v1 assembly for Bifidobacterium sp."
"GCA_008668755.1"	"ASM866875v1 assembly for Blautia wexlerae"
"GCA_008668785.1"	"ASM866878v1 assembly for Ruminococcus bromii"
"GCA_008668795.1"	"ASM866879v1 assembly for Collinsella aerofaciens"
"GCA_008668835.1"	"ASM866883v1 assembly for Bifidobacterium sp."
"GCA_008668855.1"	"ASM866885v1 assembly for Blautia wexlerae"
"GCA_008668865.1"	"ASM866886v1 assembly for Bifidobacterium longum"
"GCA_008668875.1"	"ASM866887v1 assembly for Subdoligranulum sp."
"GCA_008668885.1"	"ASM866888v1 assembly for Subdoligranulum sp."
"GCA_008668935.1"	"ASM866893v1 assembly for Megasphaera sp."
"GCA_008668955.1"	"ASM866895v1 assembly for Ruminococcus bromii"
"GCA_008668965.1"	"ASM866896v1 assembly for Atopobiaceae bacterium"
"GCA_008668985.1"	"ASM866898v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008670815.1"	"ASM867081v1 assembly for Bifidobacterium bifidum"
"GCA_008670855.1"	"ASM867085v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008670925.1"	"ASM867092v1 assembly for Bifidobacterium longum"
"GCA_008670955.1"	"ASM867095v1 assembly for Ruthenibacterium lactatiformans"
"GCA_008670995.1"	"ASM867099v1 assembly for Collinsella aerofaciens"
"GCA_008671015.1"	"ASM867101v1 assembly for Bifidobacterium sp."
"GCA_008671025.1"	"ASM867102v1 assembly for Varibaculum sp."
"GCA_008671075.1"	"ASM867107v1 assembly for Bifidobacterium longum"
"GCA_008671095.1"	"ASM867109v1 assembly for Eggerthella lenta"
"GCA_008671135.1"	"ASM867113v1 assembly for Collinsella aerofaciens"
"GCA_008671155.1"	"ASM867115v1 assembly for Bifidobacterium sp."
"GCA_008671175.1"	"ASM867117v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671375.1"	"ASM867137v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671385.1"	"ASM867138v1 assembly for Subdoligranulum sp."
"GCA_008671395.1"	"ASM867139v1 assembly for Faecalibacterium prausnitzii"
"GCA_008671505.1"	"ASM867150v1 assembly for Clostridia bacterium"
"GCA_008671525.1"	"ASM867152v1 assembly for Faecalibacterium prausnitzii"
"GCA_008671535.1"	"ASM867153v1 assembly for Eggerthellaceae bacterium"
"GCA_008671575.1"	"ASM867157v1 assembly for Subdoligranulum sp."
"GCA_008671685.1"	"ASM867168v1 assembly for Collinsella sp."
"GCA_008671715.1"	"ASM867171v1 assembly for Clostridia bacterium"
"GCA_008671725.1"	"ASM867172v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008671735.1"	"ASM867173v1 assembly for Agathobacter rectalis"
"GCA_008671775.1"	"ASM867177v1 assembly for [Eubacterium] siraeum"
"GCA_008671795.1"	"ASM867179v1 assembly for Alistipes onderdonkii"
"GCA_008671925.1"	"ASM867192v1 assembly for Alistipes onderdonkii"
"GCA_008671935.1"	"ASM867193v1 assembly for Clostridia bacterium"
"GCA_008672025.1"	"ASM867202v1 assembly for Acidaminococcaceae bacterium"
"GCA_008672035.1"	"ASM867203v1 assembly for Akkermansia muciniphila"
"GCA_008672135.1"	"ASM867213v1 assembly for Bifidobacterium longum"
"GCA_008672175.1"	"ASM867217v1 assembly for [Eubacterium] siraeum"
"GCA_008672195.1"	"ASM867219v1 assembly for Clostridia bacterium"
"GCA_008672255.1"	"ASM867225v1 assembly for Alistipes onderdonkii"
"GCA_008672265.1"	"ASM867226v1 assembly for Roseburia faecis"
"GCA_008672325.1"	"ASM867232v1 assembly for Anaerostipes hadrus"
"GCA_008672345.1"	"ASM867234v1 assembly for Faecalibacterium sp."
"GCA_008672355.1"	"ASM867235v1 assembly for Bifidobacterium longum"
"GCA_008672395.1"	"ASM867239v1 assembly for Megasphaera massiliensis"
"GCA_008672415.1"	"ASM867241v1 assembly for Mediterraneibacter gnavus"
"GCA_008672425.1"	"ASM867242v1 assembly for Blautia wexlerae"
"GCA_008672435.1"	"ASM867243v1 assembly for Anaerostipes hadrus"
"GCA_008672535.1"	"ASM867253v1 assembly for Mediterraneibacter gnavus"
"GCA_008672615.1"	"ASM867261v1 assembly for Anaerostipes hadrus"
"GCA_008672635.1"	"ASM867263v1 assembly for Eggerthella lenta"
"GCA_008672675.1"	"ASM867267v1 assembly for Bifidobacterium pseudocatenulatum"
"GCA_008672695.1"	"ASM867269v1 assembly for Faecalibacterium sp."
"GCA_008672705.1"	"ASM867270v1 assembly for Phocaeicola vulgatus"
"GCA_008672715.1"	"ASM867271v1 assembly for Megasphaera massiliensis"
"GCA_013088975.1"	"ASM1308897v1 assembly for uncultured human fecal virus"
"GCA_013089005.1"	"ASM1308900v1 assembly for uncultured human fecal virus"
"GCA_013089035.1"	"ASM1308903v1 assembly for uncultured human fecal virus"
"GCA_013089045.1"	"ASM1308904v1 assembly for uncultured human fecal virus"
"GCA_013089075.1"	"ASM1308907v1 assembly for uncultured human fecal virus"
"GCA_013089105.1"	"ASM1308910v1 assembly for uncultured human fecal virus"
"GCA_013089125.1"	"ASM1308912v1 assembly for uncultured human fecal virus"
"GCA_013089135.1"	"ASM1308913v1 assembly for uncultured human fecal virus"
"GCA_013089145.1"	"ASM1308914v1 assembly for uncultured human fecal virus"
"GCA_013089175.1"	"ASM1308917v1 assembly for uncultured human fecal virus"
"GCA_013089225.1"	"ASM1308922v1 assembly for uncultured human fecal virus"
"GCA_013089275.1"	"ASM1308927v1 assembly for uncultured human fecal virus"
"GCA_013089285.1"	"ASM1308928v1 assembly for uncultured human fecal virus"
"GCA_013089305.1"	"ASM1308930v1 assembly for uncultured human fecal virus"
"GCA_013089345.1"	"ASM1308934v1 assembly for uncultured human fecal virus"
"GCA_013089365.1"	"ASM1308936v1 assembly for uncultured human fecal virus"
"GCA_013089385.1"	"ASM1308938v1 assembly for uncultured human fecal virus"
"GCA_013089415.1"	"ASM1308941v1 assembly for uncultured human fecal virus"
"GCA_013089445.1"	"ASM1308944v1 assembly for uncultured human fecal virus"
"GCA_013089465.1"	"ASM1308946v1 assembly for uncultured human fecal virus"
